사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019010300100194,2019년 1월 3일 12시,목요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,26세,상해없음,보행자,여,69세,중상
2019010300100251,2019년 1월 3일 14시,목요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,80세,중상
2019010500100163,2019년 1월 5일 10시,토요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,34세,상해없음,보행자,여,76세,중상
2019010500100164,2019년 1월 5일 10시,토요일,서울특별시 동대문구 답십리동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,26세,상해없음,보행자,남,78세,경상
2019010500100293,2019년 1월 5일 15시,토요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,중앙선침범,건조,맑음,단일로 - 기타,화물,여,35세,상해없음,보행자,남,85세,중상
2019010700100046,2019년 1월 7일 05시,월요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,25세,상해없음,보행자,남,69세,중상
2019010700100138,2019년 1월 7일 09시,월요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,보행자,여,83세,경상
2019010800100163,2019년 1월 8일 10시,화요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,여,82세,경상
2019011000100422,2019년 1월 10일 19시,목요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,남,68세,중상
2019011300100292,2019년 1월 13일 18시,일요일,서울특별시 동대문구 청량리동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,여,52세,상해없음,보행자,남,70세,중상
2019012200100478,2019년 1월 22일 19시,화요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,보행자,여,71세,중상
